sample	path	group
T200032	example-configs/arg-nz-ca-chinook/data/T200032.bam  YUK
T200245	example-configs/arg-nz-ca-chinook/data/T200245.bam	YUK
T200379	example-configs/arg-nz-ca-chinook/data/T200379.bam	YUK
T200387	example-configs/arg-nz-ca-chinook/data/T200387.bam	YUK
T200040	example-configs/arg-nz-ca-chinook/data/T200040.bam	YUK
T200423	example-configs/arg-nz-ca-chinook/data/T200423.bam	YUK
SRR23782967	example-configs/arg-nz-ca-chinook/data/SRR23782967.bam	COLR
T144804	example-configs/arg-nz-ca-chinook/data/T144804.bam	KLAR
T144805	example-configs/arg-nz-ca-chinook/data/T144805.bam	KLAR
T145124	example-configs/arg-nz-ca-chinook/data/T145124.bam	KLAR
T145115	example-configs/arg-nz-ca-chinook/data/T145115.bam	KLAR
T144959	example-configs/arg-nz-ca-chinook/data/T144959.bam	KLAR
T144960	example-configs/arg-nz-ca-chinook/data/T144960.bam	KLAR
T145151	example-configs/arg-nz-ca-chinook/data/T145151.bam	KLAR
T145152	example-configs/arg-nz-ca-chinook/data/T145152.bam	KLAR
T145082	example-configs/arg-nz-ca-chinook/data/T145082.bam	CACV
T145084	example-configs/arg-nz-ca-chinook/data/T145084.bam	CACV
T148361	example-configs/arg-nz-ca-chinook/data/T148361.bam	CACV
T148367	example-configs/arg-nz-ca-chinook/data/T148367.bam	CACV
T148326	example-configs/arg-nz-ca-chinook/data/T148326.bam	CACV
T148327	example-configs/arg-nz-ca-chinook/data/T148327.bam	CACV
T144879	example-configs/arg-nz-ca-chinook/data/T144879.bam	CACV
T144893	example-configs/arg-nz-ca-chinook/data/T144893.bam	CACV
T145139	example-configs/arg-nz-ca-chinook/data/T145139.bam	CACV
T145140	example-configs/arg-nz-ca-chinook/data/T145140.bam	CACV
T145057	example-configs/arg-nz-ca-chinook/data/T145057.bam	CACV
T145058	example-configs/arg-nz-ca-chinook/data/T145058.bam	CACV
T071909	example-configs/arg-nz-ca-chinook/data/T071909.bam	FUTA
T071970	example-configs/arg-nz-ca-chinook/data/T071970.bam	FUTA
T071971	example-configs/arg-nz-ca-chinook/data/T071971.bam	FUTA
T071972	example-configs/arg-nz-ca-chinook/data/T071972.bam	FUTA
T071973	example-configs/arg-nz-ca-chinook/data/T071973.bam	FUTA
T071974	example-configs/arg-nz-ca-chinook/data/T071974.bam	FUTA
T071980	example-configs/arg-nz-ca-chinook/data/T071980.bam	FUTA
T071981	example-configs/arg-nz-ca-chinook/data/T071981.bam	FUTA
T071982	example-configs/arg-nz-ca-chinook/data/T071982.bam	FUTA
T186145	example-configs/arg-nz-ca-chinook/data/T186145.bam	SCR
T186146	example-configs/arg-nz-ca-chinook/data/T186146.bam	SCR
T186177	example-configs/arg-nz-ca-chinook/data/T186177.bam	SCR
T186178	example-configs/arg-nz-ca-chinook/data/T186178.bam	SCR
T116433	example-configs/arg-nz-ca-chinook/data/T116433.bam	SCR
T116434	example-configs/arg-nz-ca-chinook/data/T116434.bam	SCR
T127131	example-configs/arg-nz-ca-chinook/data/T127131.bam	SCR
T186147	example-configs/arg-nz-ca-chinook/data/T186147.bam	SCR
T186166	example-configs/arg-nz-ca-chinook/data/T186166.bam	SCR
T127135	example-configs/arg-nz-ca-chinook/data/T127135.bam	SCR
T127136	example-configs/arg-nz-ca-chinook/data/T127136.bam	SCR
T071901	example-configs/arg-nz-ca-chinook/data/T071901.bam	SCR
T071907	example-configs/arg-nz-ca-chinook/data/T071907.bam	SCR
T071841	example-configs/arg-nz-ca-chinook/data/T071841.bam	SCR
T071842	example-configs/arg-nz-ca-chinook/data/T071842.bam	SCR
T071845	example-configs/arg-nz-ca-chinook/data/T071845.bam	SCR
T071905	example-configs/arg-nz-ca-chinook/data/T071905.bam	SCR
T071908	example-configs/arg-nz-ca-chinook/data/T071908.bam	SCR
T071897	example-configs/arg-nz-ca-chinook/data/T071897.bam	OVA
T071898	example-configs/arg-nz-ca-chinook/data/T071898.bam	OVA
T071899	example-configs/arg-nz-ca-chinook/data/T071899.bam	OVA
T071900	example-configs/arg-nz-ca-chinook/data/T071900.bam	OVA
T204480	example-configs/arg-nz-ca-chinook/data/T204480.bam NZ
T204485	example-configs/arg-nz-ca-chinook/data/T204485.bam	NZ
T204486	example-configs/arg-nz-ca-chinook/data/T204486.bam	NZ
T204493	example-configs/arg-nz-ca-chinook/data/T204493.bam	NZ
T204698	example-configs/arg-nz-ca-chinook/data/T204698.bam	NZ
T204706	example-configs/arg-nz-ca-chinook/data/T204706.bam	NZ
T204705	example-configs/arg-nz-ca-chinook/data/T204705.bam	NZ
T204707	example-configs/arg-nz-ca-chinook/data/T204707.bam	NZ
T204501	example-configs/arg-nz-ca-chinook/data/T204501.bam	NZ
T204496	example-configs/arg-nz-ca-chinook/data/T204496.bam	NZ
T204498	example-configs/arg-nz-ca-chinook/data/T204498.bam	NZ
T204500	example-configs/arg-nz-ca-chinook/data/T204500.bam	NZ
T169607	example-configs/arg-nz-ca-chinook/data/T169607.bam	NZ
T169892	example-configs/arg-nz-ca-chinook/data/T169892.bam	NZ
T204786	example-configs/arg-nz-ca-chinook/data/T204786.bam	NZ
T204568	example-configs/arg-nz-ca-chinook/data/T204568.bam	NZ
T169854	example-configs/arg-nz-ca-chinook/data/T169854.bam	NZ
T204615	example-configs/arg-nz-ca-chinook/data/T204615.bam	NZ
T204543	example-configs/arg-nz-ca-chinook/data/T204543.bam	NZ
T204610	example-configs/arg-nz-ca-chinook/data/T204610.bam	NZ
T204735	example-configs/arg-nz-ca-chinook/data/T204735.bam	NZ
T169585	example-configs/arg-nz-ca-chinook/data/T169585.bam	NZ
T169873	example-configs/arg-nz-ca-chinook/data/T169873.bam	NZ
T169710	example-configs/arg-nz-ca-chinook/data/T169710.bam	NZ
