sample	path	group
M129366	example-configs/arg-nz-ca-trout/files/M129366.bam	McCR
M129368	example-configs/arg-nz-ca-trout/files/M129368.bam	McCR
M129370	example-configs/arg-nz-ca-trout/files/M129370.bam	McCR
M129371	example-configs/arg-nz-ca-trout/files/M129371.bam	McCR
M128788	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M128788.bam	CACVh
M128789	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M128789.bam	CACVh
M128790	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M128790.bam	CACVh
M128792	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M128792.bam	CACVh
M128793	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M128793.bam	CACVh
M128794	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M128794.bam	CACVh
M133802	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M133802.bam	CACVh
M133804	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M133804.bam	CACVh
M133806	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M133806.bam	CACVh
M133808	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M133808.bam	CACVh
M132898	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M132898.bam	CACVh
M128969	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M128969.bam	CACVh
M128971	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M128971.bam	CACVh
M129492	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M129492.bam	CACVh
M129495	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M129495.bam	CACVh
M132903	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M132903.bam	CACVh
M132906	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M132906.bam	CACVh
M132910	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M132910.bam	CACVh
M127421	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M127421.bam	CACVh
M127422	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M127422.bam	CACVh
M127424	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M127424.bam	CACVh
M127425	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M127425.bam	CACVh
M127426	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M127426.bam	CACVh
M127429	/share/swfsc/clazari/Omykiss/results_mega-non-model_CAxArg_March_2025/bqsr-round-0/overlap_clipped/M127429.bam	CACVh
M019404	example-configs/arg-nz-ca-trout/files/M019404.bam	CACo
M132831	example-configs/arg-nz-ca-trout/files/M132831.bam	CACo
M079916	example-configs/arg-nz-ca-trout/files/M079916.bam	CACo
M132856	example-configs/arg-nz-ca-trout/files/M132856.bam	CACo
M081449	example-configs/arg-nz-ca-trout/files/M081449.bam	CACo
M048736	example-configs/arg-nz-ca-trout/files/M048736.bam	CACo
M036407	example-configs/arg-nz-ca-trout/files/M036407.bam	CACo
M055824	example-configs/arg-nz-ca-trout/files/M055824.bam	CACo
M123674	example-configs/arg-nz-ca-trout/files/M123674.bam	CACo
M109391	example-configs/arg-nz-ca-trout/files/M109391.bam	CACo
M133589	example-configs/arg-nz-ca-trout/files/M133589.bam	CA
M133590	example-configs/arg-nz-ca-trout/files/M133590.bam	CA
M133591	example-configs/arg-nz-ca-trout/files/M133591.bam	CA
M133592	example-configs/arg-nz-ca-trout/files/M133592.bam	CA
M133593	example-configs/arg-nz-ca-trout/files/M133593.bam	CA
