sample	path	group
M019492	example-configs/arg-nz-ca-trout/data/M019492.bam	ARG
M019494	example-configs/arg-nz-ca-trout/data/M019494.bam	ARG
M019502	example-configs/arg-nz-ca-trout/data/M019502.bam	ARG
M019512	example-configs/arg-nz-ca-trout/data/M019512.bam	ARG
M019514	example-configs/arg-nz-ca-trout/data/M019514.bam	ARG
M019515	example-configs/arg-nz-ca-trout/data/M019515.bam	ARG
M019516	example-configs/arg-nz-ca-trout/data/M019515.bam	ARG
M019519	example-configs/arg-nz-ca-trout/data/M019519.bam	ARG
M019528	example-configs/arg-nz-ca-trout/data/M019528.bam	ARG
M019530	example-configs/arg-nz-ca-trout/data/M019530.bam	ARG
M019535	example-configs/arg-nz-ca-trout/data/M019535.bam	ARG
M019536	example-configs/arg-nz-ca-trout/data/M019536.bam	ARG
M019537	example-configs/arg-nz-ca-trout/data/M019537.bam	ARG
M019538	example-configs/arg-nz-ca-trout/data/M019538.bam	ARG
M019554	example-configs/arg-nz-ca-trout/data/M019554.bam	ARG
M019558	example-configs/arg-nz-ca-trout/data/M019558.bam	ARG
M019567	example-configs/arg-nz-ca-trout/data/M019567.bam	ARG
M019572	example-configs/arg-nz-ca-trout/data/M019572.bam	ARG
M019573	example-configs/arg-nz-ca-trout/data/M019573.bam	ARG
M019580	example-configs/arg-nz-ca-trout/data/M019580.bam	ARG
M019597	example-configs/arg-nz-ca-trout/data/M019597.bam	ARG
M019605	example-configs/arg-nz-ca-trout/data/M019605.bam	ARG
M019609	example-configs/arg-nz-ca-trout/data/M019609.bam	ARG
M019618	example-configs/arg-nz-ca-trout/data/M019618.bam	ARG
M019644	example-configs/arg-nz-ca-trout/data/M019644.bam	ARG
M019651	example-configs/arg-nz-ca-trout/data/M019651.bam	ARG
M019657	example-configs/arg-nz-ca-trout/data/M019657.bam	ARG
M019695	example-configs/arg-nz-ca-trout/data/M019695.bam	ARG
M019700	example-configs/arg-nz-ca-trout/data/M019700.bam	ARG
M019704	example-configs/arg-nz-ca-trout/data/M019704.bam	ARG
M019802	example-configs/arg-nz-ca-trout/data/M019802.bam	ARG
M019825	example-configs/arg-nz-ca-trout/data/M019825.bam	ARG
M019499	example-configs/arg-nz-ca-trout/data/M019499.bam	ARG
M019510	example-configs/arg-nz-ca-trout/data/M019510.bam	ARG
M019513	example-configs/arg-nz-ca-trout/data/M019513.bam	ARG
M019533	example-configs/arg-nz-ca-trout/data/M019533.bam	ARG
M019576	example-configs/arg-nz-ca-trout/data/M019576.bam	ARG
M019594	example-configs/arg-nz-ca-trout/data/M019594.bam	ARG
M133815	example-configs/arg-nz-ca-trout/data/M133815.bam	NZ
M133816	example-configs/arg-nz-ca-trout/data/M133816.bam	NZ
M133817	example-configs/arg-nz-ca-trout/data/M133817.bam	NZ
M133820	example-configs/arg-nz-ca-trout/data/M133820.bam	NZ
M133822	example-configs/arg-nz-ca-trout/data/M133822.bam	NZ
M133823	example-configs/arg-nz-ca-trout/data/M133823.bam	NZ
M133825	example-configs/arg-nz-ca-trout/data/M133825.bam	NZ
M133826	example-configs/arg-nz-ca-trout/data/M133826.bam	NZ
M133827	example-configs/arg-nz-ca-trout/data/M133827.bam	NZ
M133828	example-configs/arg-nz-ca-trout/data/M133828.bam	NZ
M133829	example-configs/arg-nz-ca-trout/data/M133829.bam	NZ
M133830	example-configs/arg-nz-ca-trout/data/M133830.bam	NZ
M133831	example-configs/arg-nz-ca-trout/data/M133831.bam	NZ
M133832	example-configs/arg-nz-ca-trout/data/M133832.bam	NZ
M133833	example-configs/arg-nz-ca-trout/data/M133833.bam	NZ
M133834	example-configs/arg-nz-ca-trout/data/M133834.bam	NZ
M133835	example-configs/arg-nz-ca-trout/data/M133835.bam	NZ
M133813	example-configs/arg-nz-ca-trout/data/M133813.bam	NZ
M133814	example-configs/arg-nz-ca-trout/data/M133814.bam	NZ
M133818	example-configs/arg-nz-ca-trout/data/M133818.bam	NZ
M133819	example-configs/arg-nz-ca-trout/data/M133819.bam	NZ
M133821	example-configs/arg-nz-ca-trout/data/M133821.bam	NZ
M133824	example-configs/arg-nz-ca-trout/data/M133824.bam	NZ
M128969	example-configs/arg-nz-ca-trout/data/M128969.bam	CA
M128971	example-configs/arg-nz-ca-trout/data/M128971.bam	CA
M129492	example-configs/arg-nz-ca-trout/data/M129492.bam	CA
M129495	example-configs/arg-nz-ca-trout/data/M129495.bam	CA
M133741	example-configs/arg-nz-ca-trout/data/M133741.bam	CA
M133742	example-configs/arg-nz-ca-trout/data/M133742.bam	CA
M133746	example-configs/arg-nz-ca-trout/data/M133746.bam	CA
M133749	example-configs/arg-nz-ca-trout/data/M133749.bam	CA
M129366	example-configs/arg-nz-ca-trout/data/M129366.bam	CA
M129368	example-configs/arg-nz-ca-trout/data/M129368.bam	CA
M129370	example-configs/arg-nz-ca-trout/data/M129370.bam	CA
M129371	example-configs/arg-nz-ca-trout/data/M129371.bam	CA
M133802	example-configs/arg-nz-ca-trout/data/M133802.bam	CA
M133804	example-configs/arg-nz-ca-trout/data/M133804.bam	CA
M133806	example-configs/arg-nz-ca-trout/data/M133806.bam	CA
M133808	example-configs/arg-nz-ca-trout/data/M133808.bam	CA
M132910	example-configs/arg-nz-ca-trout/data/M132910.bam	CA
M132906	example-configs/arg-nz-ca-trout/data/M132906.bam	CA
M132903	example-configs/arg-nz-ca-trout/data/M132903.bam	CA
M132898	example-configs/arg-nz-ca-trout/data/M132898.bam	CA
